ph,4hba volume,4hba zeta mv,salinity 
2,0.005,53.2,0.001
2,0.005,53.2,0.001
2,0.0045,52.2,0.001
2,0.0044,1.724,0.001
2,0.0044,2.38,0.001
2,0.0044,7.36,0.001
2,0.0046,6.38,0.001
2,0.0044,5.48,0.001
2,0.0044,-0.27,0.001
2,0.0044,3.22,0.001
2,0.0044,-5,0.001
2,0.0046,-3.62,0.001
2,0.0044,-11.96,0.001
2,0.0466,171.6,0.001
2,0.045,170.4,0.001
2,0.0466,171.6,0.001
2,0.0457,0.0332,0.001
2,0.0466,0.1274,0.001
3,0.0469,77.2,0.001
3,0.0452,0.104,0.001
3,0.0469,55.2,0.001
3,0.045,76.4,0.001
3,0.0466,68.2,0.001
3,0.0457,77.2,0.001
3,0.005,-0.942,0.001
3,0.0044,-1.822,0.001
3,0.005,-0.364,0.001
3,0.0044,-1.858,0.001
3,0.005,-5,0.001
3,0.0044,-7.16,0.001
3,0.0044,-8.06,0.001
3,0.0046,-7.3,0.001
3,0.0463,77.2,0.001
3,0.0464,0.104,0.001
3,0.0464,55.2,0.001
3,0.0465,76.4,0.001
3,0.0457,68.2,0.001
3,0.0466,77.2,0.001
4,0.0467,0,0.001
4,0.045,187,0.001
4,0.0457,200,0.001
4,0.0466,199.8,0.001
4,0.0469,200,0.001
4,0.0452,149.2,0.001
4,0.0463,174,0.001
4,0.0464,199.6,0.001
4,0.0464,208,0.001
4,0.0465,206,0.001
4,0.0467,210,0.001
4,0.005,0,0.001
4,0.0044,0,0.001
4,0.005,0,0.001
4,0.0044,0,0.001
4,0.0048,0,0.001
4,0.0049,0,0.001
4,0.0049,0,0.001
4,0.005,0,0.001
5,0.045,34.25,0.001
5,0.0463,33.9,0.001
5,0.0464,32.75,0.001
5,0.0464,34.35,0.001
5,0.0465,49.85,0.001
5,0.044,52,0.001
5,0.0475,50.5,0.001
5,0.0478,52.5,0.001
5,0.0482,49.35,0.001
5,0.0486,52,0.001
5,0.0489,49.45,0.001
5,0.0493,51,0.001
5,0.0048,-17.125,0.001
5,0.0049,-16.95,0.001
5,0.0049,-16.375,0.001
5,0.0048,-17.175,0.001
5,0.0046,-24.925,0.001
5,0.0044,-26,0.001
5,0.0049,-25.25,0.001
5,0.0048,-26.25,0.001
5,0.0046,-24.675,0.001
5,0.0044,-26,0.001
5,0.005,-24.725,0.001
5,0.0044,-25.5,0.001
6,0.0482,39.65,0.001
6,0.0486,39.9,0.001
6,0.0489,39.55,0.001
6,0.0493,39.85,0.001
6,0.0489,38.7,0.001
6,0.0493,35.3,0.001
6,0.0457,33.4,0.001
6,0.0465,31.6,0.001
6,0.0474,32.6,0.001
6,0.0476,-14.6,0.001
6,0.0475,-14.8,0.001
6,0.0477,-14.8,0.001
6,0.0464,-14.95,0.001
6,0.0464,-15,0.001
6,0.0476,-14.75,0.001
6,0.0044,-19.4,0.001
6,0.0045,-16.65,0.001
6,0.0043,-14.5,0.001
6,0.0047,-12.2,0.001
6,0.0049,-11.25,0.001
6,0.0048,-8.25,0.001
6,0.0044,-7.8,0.001
6,0.0045,-5.2,0.001
7,0.0464,-39.8,0.001
7,0.0464,-39.05,0.001
7,0.0465,-39.8,0.001
7,0.0486,-37.5,0.001
7,0.0489,-40.4,0.001
7,0.0476,-44,0.001
7,0.0475,-5.6,0.001
7,0.0477,-5.65,0.001
7,0.0468,-5.2,0.001
7,0.044,-5.4,0.001
7,0.0475,-5.9,0.001
7,0.048,-6.25,0.001
7,0.0474,-6.3,0.001
7,0.0504,-6.3,0.001
7,0.0489,-6.95,0.001
7,0.0493,-7.2,0.001
7,0.0048,-19.4,0.001
7,0.0044,-16.65,0.001
7,0.0048,-14.5,0.001
7,0.0044,-12.2,0.001
7,0.0044,-11.25,0.001
7,0.0045,-8.25,0.001
7,0.0044,-7.8,0.001
7,0.0045,-5.2,0.001
8,0.0504,-40.7,0.001
8,0.0489,-41.1,0.001
8,0.0493,-41.35,0.001
8,0.0504,-42.1,0.001
8,0.0502,-41.55,0.001
8,0.048,-41.85,0.001
8,0.0474,-41.7,0.001
8,0.0476,-41.25,0.001
8,0.0049,-24.53,0.001
8,0.0045,-24.03,0.001
8,0.0045,-24.2,0.001
8,0.005,-24.72,0.001
8,0.0044,-25.265,0.001
8,0.0048,-25.47,0.001
8,0.0049,-25.37,0.001
8,0.0045,-25.055,0.001
9,0.0045,-23.45,0.001
9,0.0044,-24.85,0.001
9,0.0044,-0.825,0.001
9,0.0045,-18.4,0.001
9,0.0045,-26.4,0.001
9,0.0044,-4.77,0.001
9,0.0045,-7.6,0.001
9,0.0045,-15.2,0.001
9,0.048,-29.8,0.001
9,0.0474,-11.8,0.001
9,0.0489,-14.25,0.001
9,0.0493,-6.95,0.001
10,0.0044,-34.55,0.001
10,0.0044,-34.85,0.001
10,0.0045,-34.45,0.001
10,0.0045,-34.55,0.001
10,0.0044,-34.05,0.001
10,0.005,-33.95,0.001
10,0.0044,-33.4,0.001
10,0.0043,-33.8,0.001
10,0.0466,-37.6,0.001
10,0.048,-37.65,0.001
10,0.0474,-38.45,0.001
10,0.0457,-38.45,0.001
11,0.0043,-42.4,0.001
11,0.0047,-42.85,0.001
11,0.0049,-42.3,0.001
11,0.0048,-42.9,0.001
11,0.0048,-41.75,0.001
11,0.0044,-42,0.001
11,0.0047,-40.55,0.001
11,0.0049,-41,0.001
11,0.0048,-40.5,0.001
11,0.0049,-40.45,0.001
11,0.045,-36.2,0.001
11,0.0466,-37.5,0.001
11,0.0452,-39.1,0.001
11,0.0467,-39.05,0.001
11,0.045,-38.3,0.001
11,0.0466,-38.5,0.001
11,0.0457,-37.7,0.001
11,0.0465,-37.4,0.001
12,0.0044,-53.5,0.001
12,0.0047,-56.5,0.001
12,0.0049,-54.5,0.001
12,0.0048,-55.5,0.001
12,0.0049,-53,0.001
12,0.0044,-49.25,0.001
12,0.005,-52,0.001
12,0.0049,-54,0.001
12,0.0044,-54,0.001
12,0.005,-55.5,0.001
12,0.0504,-39.8,0.001
12,0.0467,-39.05,0.001
12,0.045,-39.8,0.001
12,0.0466,-37.5,0.001
12,0.045,-40.4,0.001
12,0.0466,-44,0.001